source_id,source_type,relation,properties,target_id,target_type
Pterocarpus marsupium,SHD,contains_chemical,part:Wood,CID_91457,Phytochemical
CID_91457,Phytochemical,interacts_with,,8989,Target
Pterocarpus marsupium,SHD,contains_chemical,part:Wood,CID_5281611,Phytochemical
CID_5281611,Phytochemical,interacts_with,,1557,Target
CID_5281611,Phytochemical,interacts_with,,1559,Target
CID_5281611,Phytochemical,interacts_with,,1588,Target
CID_5281611,Phytochemical,interacts_with,,1719,Target
CID_5281611,Phytochemical,interacts_with,,2203,Target
CID_5281611,Phytochemical,interacts_with,,3028,Target
CID_5281611,Phytochemical,interacts_with,,5292,Target
CID_5281611,Phytochemical,interacts_with,,55775,Target
Pterocarpus marsupium,SHD,contains_chemical,part:Wood,CID_638278,Phytochemical
CID_638278,Phytochemical,interacts_with,,10013,Target
CID_638278,Phytochemical,interacts_with,,10018,Target
CID_638278,Phytochemical,interacts_with,,10599,Target
CID_638278,Phytochemical,interacts_with,,10919,Target
CID_638278,Phytochemical,interacts_with,,10951,Target
CID_638278,Phytochemical,interacts_with,,11201,Target
CID_638278,Phytochemical,interacts_with,,1139,Target
CID_638278,Phytochemical,interacts_with,,114548,Target
CID_638278,Phytochemical,interacts_with,,1543,Target
CID_638278,Phytochemical,interacts_with,,1545,Target
CID_638278,Phytochemical,interacts_with,,1557,Target
CID_638278,Phytochemical,interacts_with,,1559,Target
CID_638278,Phytochemical,interacts_with,,1576,Target
CID_638278,Phytochemical,interacts_with,,1588,Target
CID_638278,Phytochemical,interacts_with,,1812,Target
CID_638278,Phytochemical,interacts_with,,1956,Target
CID_638278,Phytochemical,interacts_with,,2099,Target
CID_638278,Phytochemical,interacts_with,,2100,Target
CID_638278,Phytochemical,interacts_with,,2237,Target
CID_638278,Phytochemical,interacts_with,,2260,Target
CID_638278,Phytochemical,interacts_with,,2263,Target
CID_638278,Phytochemical,interacts_with,,231,Target
CID_638278,Phytochemical,interacts_with,,23621,Target
CID_638278,Phytochemical,interacts_with,,23683,Target
CID_638278,Phytochemical,interacts_with,,2475,Target
